FIT: {'loss': [2.8249599933624268], 'accuracy': [0.2857142984867096]}
EVALUATE: {'loss': [2.417346239089966], 'accuracy': [0.3494809567928314]}
FIT: {'loss': [2.6536757946014404], 'accuracy': [0.3345864713191986]}
EVALUATE: {'loss': [2.38132905960083], 'accuracy': [0.40830451250076294]}
FIT: {'loss': [2.5701797008514404], 'accuracy': [0.35338345170021057]}
EVALUATE: {'loss': [2.2733314037323], 'accuracy': [0.47750866413116455]}
FIT: {'loss': [2.5114099979400635], 'accuracy': [0.37468671798706055]}
EVALUATE: {'loss': [2.0592334270477295], 'accuracy': [0.4982698857784271]}
FIT: {'loss': [2.534188747406006], 'accuracy': [0.3546365797519684]}
EVALUATE: {'loss': [2.302126169204712], 'accuracy': [0.3944636583328247]}
