Tipo: RECEBIMENTO | Node: 29 | MsgID: 306758 | Tempo: 21648.2
Tipo: ENVIO | Node: RSU_100001 | MsgID: 318520 | Tempo: 21649.1
Tipo: ENVIO | Node: RSU_100001 | MsgID: 331817 | Tempo: 21650.1
Tipo: RECEBIMENTO | Node: 23 | MsgID: 333679 | Tempo: 21650.2
Tipo: ENVIO | Node: RSU_100001 | MsgID: 345708 | Tempo: 21651.1
Tipo: RECEBIMENTO | Node: 29 | MsgID: 346779 | Tempo: 21651.2
Tipo: ENVIO | Node: RSU_100001 | MsgID: 359840 | Tempo: 21652.1
Tipo: RECEBIMENTO | Node: 8 | MsgID: 362212 | Tempo: 21652.2
Tipo: RECEBIMENTO | Node: 35 | MsgID: 362750 | Tempo: 21652.3
Tipo: ENVIO | Node: RSU_100001 | MsgID: 375006 | Tempo: 21653.1
Tipo: RECEBIMENTO | Node: 23 | MsgID: 376990 | Tempo: 21653.2
Tipo: ENVIO | Node: RSU_100001 | MsgID: 390073 | Tempo: 21654.1
Tipo: RECEBIMENTO | Node: 23 | MsgID: 392026 | Tempo: 21654.2
Tipo: RECEBIMENTO | Node: 12 | MsgID: 393088 | Tempo: 21654.3
Tipo: ENVIO | Node: RSU_100001 | MsgID: 405198 | Tempo: 21655.1
Tipo: RECEBIMENTO | Node: 8 | MsgID: 407570 | Tempo: 21655.2
Tipo: ENVIO | Node: RSU_100001 | MsgID: 420344 | Tempo: 21656.1
Tipo: RECEBIMENTO | Node: 7 | MsgID: 422999 | Tempo: 21656.3
Tipo: ENVIO | Node: RSU_100001 | MsgID: 435421 | Tempo: 21657.1
Tipo: RECEBIMENTO | Node: 8 | MsgID: 437845 | Tempo: 21657.2
Tipo: RECEBIMENTO | Node: 12 | MsgID: 438610 | Tempo: 21657.3
Tipo: ENVIO | Node: RSU_100001 | MsgID: 451058 | Tempo: 21658.1
Tipo: RECEBIMENTO | Node: 12 | MsgID: 454088 | Tempo: 21658.3
Tipo: ENVIO | Node: RSU_100001 | MsgID: 466639 | Tempo: 21659.1
Tipo: RECEBIMENTO | Node: 8 | MsgID: 469025 | Tempo: 21659.2
Tipo: ENVIO | Node: RSU_100001 | MsgID: 482560 | Tempo: 21660.1
Tipo: RECEBIMENTO | Node: 29 | MsgID: 483775 | Tempo: 21660.2
Tipo: RECEBIMENTO | Node: 36 | MsgID: 485072 | Tempo: 21660.2
Tipo: ENVIO | Node: RSU_100001 | MsgID: 498582 | Tempo: 21661.1
Tipo: RECEBIMENTO | Node: 29 | MsgID: 499799 | Tempo: 21661.2
Tipo: RECEBIMENTO | Node: 8 | MsgID: 501142 | Tempo: 21661.2
Tipo: ENVIO | Node: RSU_100001 | MsgID: 514709 | Tempo: 21662.1
Tipo: RECEBIMENTO | Node: 8 | MsgID: 517290 | Tempo: 21662.2
Tipo: RECEBIMENTO | Node: 7 | MsgID: 517843 | Tempo: 21662.3
Tipo: ENVIO | Node: RSU_100001 | MsgID: 531421 | Tempo: 21663.1
Tipo: ENVIO | Node: RSU_100001 | MsgID: 548767 | Tempo: 21664.1
Tipo: RECEBIMENTO | Node: 24 | MsgID: 551869 | Tempo: 21664.3
Tipo: ENVIO | Node: RSU_100001 | MsgID: 566194 | Tempo: 21665.1
Tipo: ENVIO | Node: RSU_100001 | MsgID: 584270 | Tempo: 21666.1
Tipo: RECEBIMENTO | Node: 8 | MsgID: 587105 | Tempo: 21666.2
Tipo: RECEBIMENTO | Node: 7 | MsgID: 587706 | Tempo: 21666.3
Tipo: ENVIO | Node: RSU_100001 | MsgID: 602652 | Tempo: 21667.1
Tipo: RECEBIMENTO | Node: 24 | MsgID: 606144 | Tempo: 21667.3
Tipo: ENVIO | Node: RSU_100001 | MsgID: 622137 | Tempo: 21668.1
Tipo: RECEBIMENTO | Node: 23 | MsgID: 624955 | Tempo: 21668.2
Tipo: RECEBIMENTO | Node: 8 | MsgID: 625345 | Tempo: 21668.2
Tipo: ENVIO | Node: RSU_100001 | MsgID: 643094 | Tempo: 21669.1
Tipo: RECEBIMENTO | Node: 7 | MsgID: 647060 | Tempo: 21669.3
Tipo: RECEBIMENTO | Node: 35 | MsgID: 647160 | Tempo: 21669.3
Tipo: ENVIO | Node: RSU_100001 | MsgID: 664930 | Tempo: 21670.1
Tipo: RECEBIMENTO | Node: 23 | MsgID: 667756 | Tempo: 21670.2
Tipo: RECEBIMENTO | Node: 36 | MsgID: 668184 | Tempo: 21670.2
Tipo: ENVIO | Node: RSU_100001 | MsgID: 686998 | Tempo: 21671.1
Tipo: RECEBIMENTO | Node: 24 | MsgID: 690984 | Tempo: 21671.3
Tipo: ENVIO | Node: RSU_100001 | MsgID: 709084 | Tempo: 21672.1
Tipo: ENVIO | Node: RSU_100001 | MsgID: 731226 | Tempo: 21673.1
Tipo: RECEBIMENTO | Node: 29 | MsgID: 733019 | Tempo: 21673.2
Tipo: ENVIO | Node: RSU_100001 | MsgID: 754453 | Tempo: 21674.1
Tipo: RECEBIMENTO | Node: 36 | MsgID: 758063 | Tempo: 21674.2
Tipo: ENVIO | Node: RSU_100001 | MsgID: 778807 | Tempo: 21675.1
Tipo: ENVIO | Node: RSU_100001 | MsgID: 803784 | Tempo: 21676.1
Tipo: RECEBIMENTO | Node: 7 | MsgID: 808419 | Tempo: 21676.3
Tipo: ENVIO | Node: RSU_100001 | MsgID: 829897 | Tempo: 21677.1
Tipo: RECEBIMENTO | Node: 29 | MsgID: 831835 | Tempo: 21677.2
Tipo: ENVIO | Node: RSU_100001 | MsgID: 855997 | Tempo: 21678.1
Tipo: RECEBIMENTO | Node: 36 | MsgID: 859702 | Tempo: 21678.2
Tipo: RECEBIMENTO | Node: 12 | MsgID: 860985 | Tempo: 21678.3
Tipo: ENVIO | Node: RSU_100001 | MsgID: 882194 | Tempo: 21679.1
Tipo: RECEBIMENTO | Node: 7 | MsgID: 886772 | Tempo: 21679.3
