SENT | MsgID: 70191 | Time: 21748.368031
SENT | MsgID: 70282 | Time: 21748.468031
SENT | MsgID: 70373 | Time: 21748.568031
SENT | MsgID: 70464 | Time: 21748.668031
SENT | MsgID: 70555 | Time: 21748.768031
SENT | MsgID: 70646 | Time: 21748.868031
SENT | MsgID: 70737 | Time: 21748.968031
SENT | MsgID: 70829 | Time: 21749.068031
SENT | MsgID: 70922 | Time: 21749.168031
SENT | MsgID: 71014 | Time: 21749.268031
SENT | MsgID: 71106 | Time: 21749.368031
SENT | MsgID: 71198 | Time: 21749.468031
SENT | MsgID: 71290 | Time: 21749.568031
SENT | MsgID: 71382 | Time: 21749.668031
SENT | MsgID: 71474 | Time: 21749.768031
SENT | MsgID: 71566 | Time: 21749.868031
SENT | MsgID: 71658 | Time: 21749.968031
SENT | MsgID: 71751 | Time: 21750.068031
SENT | MsgID: 71845 | Time: 21750.168031
SENT | MsgID: 71938 | Time: 21750.268031
SENT | MsgID: 72031 | Time: 21750.368031
SENT | MsgID: 72124 | Time: 21750.468031
SENT | MsgID: 72217 | Time: 21750.568031
SENT | MsgID: 72310 | Time: 21750.668031
SENT | MsgID: 72403 | Time: 21750.768031
SENT | MsgID: 72496 | Time: 21750.868031
SENT | MsgID: 72589 | Time: 21750.968031
SENT | MsgID: 72683 | Time: 21751.068031
SENT | MsgID: 72778 | Time: 21751.168031
SENT | MsgID: 72872 | Time: 21751.268031
SENT | MsgID: 72966 | Time: 21751.368031
SENT | MsgID: 73060 | Time: 21751.468031
SENT | MsgID: 73154 | Time: 21751.568031
SENT | MsgID: 73248 | Time: 21751.668031
SENT | MsgID: 73342 | Time: 21751.768031
SENT | MsgID: 73436 | Time: 21751.868031
SENT | MsgID: 73530 | Time: 21751.968031
SENT | MsgID: 73624 | Time: 21752.068031
SENT | MsgID: 73720 | Time: 21752.168031
SENT | MsgID: 73815 | Time: 21752.268031
SENT | MsgID: 73910 | Time: 21752.368031
SENT | MsgID: 74005 | Time: 21752.468031
SENT | MsgID: 74100 | Time: 21752.568031
SENT | MsgID: 74195 | Time: 21752.668031
SENT | MsgID: 74290 | Time: 21752.768031
SENT | MsgID: 74385 | Time: 21752.868031
SENT | MsgID: 74480 | Time: 21752.968031
SENT | MsgID: 74575 | Time: 21753.068031
SENT | MsgID: 74671 | Time: 21753.168031
SENT | MsgID: 74766 | Time: 21753.268031
SENT | MsgID: 74861 | Time: 21753.368031
SENT | MsgID: 74956 | Time: 21753.468031
SENT | MsgID: 75051 | Time: 21753.568031
SENT | MsgID: 75146 | Time: 21753.668031
SENT | MsgID: 75241 | Time: 21753.768031
SENT | MsgID: 75336 | Time: 21753.868031
SENT | MsgID: 75431 | Time: 21753.968031
SENT | MsgID: 75527 | Time: 21754.068031
SENT | MsgID: 75624 | Time: 21754.168031
SENT | MsgID: 75720 | Time: 21754.268031
SENT | MsgID: 75816 | Time: 21754.368031
SENT | MsgID: 75912 | Time: 21754.468031
SENT | MsgID: 76008 | Time: 21754.568031
SENT | MsgID: 76104 | Time: 21754.668031
SENT | MsgID: 76200 | Time: 21754.768031
SENT | MsgID: 76296 | Time: 21754.868031
SENT | MsgID: 76392 | Time: 21754.968031
SENT | MsgID: 76488 | Time: 21755.068031
SENT | MsgID: 76585 | Time: 21755.168031
SENT | MsgID: 76681 | Time: 21755.268031
SENT | MsgID: 76777 | Time: 21755.368031
SENT | MsgID: 76873 | Time: 21755.468031
SENT | MsgID: 76969 | Time: 21755.568031
SENT | MsgID: 77065 | Time: 21755.668031
SENT | MsgID: 77161 | Time: 21755.768031
SENT | MsgID: 77257 | Time: 21755.868031
SENT | MsgID: 77353 | Time: 21755.968031
SENT | MsgID: 77449 | Time: 21756.068031
SENT | MsgID: 77546 | Time: 21756.168031
SENT | MsgID: 77642 | Time: 21756.268031
SENT | MsgID: 77738 | Time: 21756.368031
SENT | MsgID: 77834 | Time: 21756.468031
SENT | MsgID: 77930 | Time: 21756.568031
SENT | MsgID: 78026 | Time: 21756.668031
SENT | MsgID: 78122 | Time: 21756.768031
SENT | MsgID: 78218 | Time: 21756.868031
SENT | MsgID: 78314 | Time: 21756.968031
SENT | MsgID: 78410 | Time: 21757.068031
SENT | MsgID: 78507 | Time: 21757.168031
SENT | MsgID: 78603 | Time: 21757.268031
SENT | MsgID: 78699 | Time: 21757.368031
SENT | MsgID: 78795 | Time: 21757.468031
SENT | MsgID: 78891 | Time: 21757.568031
SENT | MsgID: 78987 | Time: 21757.668031
SENT | MsgID: 79083 | Time: 21757.768031
SENT | MsgID: 79179 | Time: 21757.868031
SENT | MsgID: 79275 | Time: 21757.968031
SENT | MsgID: 79372 | Time: 21758.068031
SENT | MsgID: 79470 | Time: 21758.168031
SENT | MsgID: 79567 | Time: 21758.268031
SENT | MsgID: 79664 | Time: 21758.368031
SENT | MsgID: 79761 | Time: 21758.468031
SENT | MsgID: 79858 | Time: 21758.568031
SENT | MsgID: 79955 | Time: 21758.668031
SENT | MsgID: 80052 | Time: 21758.768031
SENT | MsgID: 80149 | Time: 21758.868031
SENT | MsgID: 80246 | Time: 21758.968031
SENT | MsgID: 80343 | Time: 21759.068031
SENT | MsgID: 80441 | Time: 21759.168031
SENT | MsgID: 80538 | Time: 21759.268031
SENT | MsgID: 80635 | Time: 21759.368031
SENT | MsgID: 80732 | Time: 21759.468031
SENT | MsgID: 80829 | Time: 21759.568031
