FIT: {'loss': [0.9882771372795105], 'accuracy': [0.7248050570487976]}
EVALUATE: {'loss': [0.16994133591651917], 'accuracy': [0.9556235671043396]}
FIT: {'loss': [0.2580152451992035], 'accuracy': [0.9232310652732849]}
EVALUATE: {'loss': [0.06840864568948746], 'accuracy': [0.9838476777076721]}
FIT: {'loss': [0.24073822796344757], 'accuracy': [0.9281134009361267]}
EVALUATE: {'loss': [0.04858459159731865], 'accuracy': [0.9872481226921082]}
FIT: {'loss': [0.1763930320739746], 'accuracy': [0.9461488127708435]}
EVALUATE: {'loss': [0.03447085991501808], 'accuracy': [0.9908186793327332]}
FIT: {'loss': [0.15060147643089294], 'accuracy': [0.9558770060539246]}
EVALUATE: {'loss': [0.02947637252509594], 'accuracy': [0.9926889538764954]}
