FIT: {'loss': [0.9817283153533936], 'accuracy': [0.7232747673988342]}
EVALUATE: {'loss': [0.16705982387065887], 'accuracy': [0.9568137526512146]}
FIT: {'loss': [0.27736014127731323], 'accuracy': [0.914085865020752]}
EVALUATE: {'loss': [0.055991291999816895], 'accuracy': [0.9871631264686584]}
FIT: {'loss': [0.25370731949806213], 'accuracy': [0.9211906790733337]}
EVALUATE: {'loss': [0.08592024445533752], 'accuracy': [0.9761965274810791]}
FIT: {'loss': [0.23058956861495972], 'accuracy': [0.9300444722175598]}
EVALUATE: {'loss': [0.06588463485240936], 'accuracy': [0.9831675887107849]}
FIT: {'loss': [0.18224352598190308], 'accuracy': [0.9453107714653015]}
EVALUATE: {'loss': [0.04409963637590408], 'accuracy': [0.9892034530639648]}
FIT: {'loss': [0.15473780035972595], 'accuracy': [0.9552940130233765]}
EVALUATE: {'loss': [0.023300088942050934], 'accuracy': [0.9938791394233704]}
FIT: {'loss': [0.18540982902050018], 'accuracy': [0.9431975483894348]}
EVALUATE: {'loss': [0.03827254846692085], 'accuracy': [0.9886083602905273]}
