FIT: {'loss': [1.0046011209487915], 'accuracy': [0.7173358798027039]}
EVALUATE: {'loss': [0.1546904444694519], 'accuracy': [0.9575788378715515]}
FIT: {'loss': [0.1806558072566986], 'accuracy': [0.9465495944023132]}
EVALUATE: {'loss': [0.04394249990582466], 'accuracy': [0.9890334010124207]}
FIT: {'loss': [0.15079745650291443], 'accuracy': [0.9543467164039612]}
EVALUATE: {'loss': [0.04254019632935524], 'accuracy': [0.9903085827827454]}
FIT: {'loss': [0.17463265359401703], 'accuracy': [0.9475697875022888]}
EVALUATE: {'loss': [0.03754212334752083], 'accuracy': [0.991073727607727]}
FIT: {'loss': [0.14605945348739624], 'accuracy': [0.9567514657974243]}
EVALUATE: {'loss': [0.030347231775522232], 'accuracy': [0.9920938611030579]}
FIT: {'loss': [0.14859624207019806], 'accuracy': [0.9546746611595154]}
EVALUATE: {'loss': [0.02996644750237465], 'accuracy': [0.9925189018249512]}
FIT: {'loss': [0.11248620599508286], 'accuracy': [0.9661881327629089]}
EVALUATE: {'loss': [0.02303239516913891], 'accuracy': [0.9932840466499329]}
