FIT: {'loss': [1.0069818496704102], 'accuracy': [0.714530348777771]}
EVALUATE: {'loss': [0.2015136331319809], 'accuracy': [0.948822557926178]}
FIT: {'loss': [0.23951900005340576], 'accuracy': [0.9271296262741089]}
EVALUATE: {'loss': [0.06086087226867676], 'accuracy': [0.982912540435791]}
FIT: {'loss': [0.18538768589496613], 'accuracy': [0.9442177414894104]}
EVALUATE: {'loss': [0.053380291908979416], 'accuracy': [0.985802948474884]}
FIT: {'loss': [0.14954394102096558], 'accuracy': [0.9559863209724426]}
EVALUATE: {'loss': [0.03638406842947006], 'accuracy': [0.9911587238311768]}
FIT: {'loss': [0.18227723240852356], 'accuracy': [0.9447278380393982]}
EVALUATE: {'loss': [0.03902808949351311], 'accuracy': [0.9905636310577393]}
FIT: {'loss': [0.14952106773853302], 'accuracy': [0.9540552496910095]}
EVALUATE: {'loss': [0.0315435491502285], 'accuracy': [0.9916688203811646]}
FIT: {'loss': [0.150120347738266], 'accuracy': [0.9535815715789795]}
EVALUATE: {'loss': [0.030567292124032974], 'accuracy': [0.9925189018249512]}
FIT: {'loss': [0.10981197655200958], 'accuracy': [0.9662610292434692]}
EVALUATE: {'loss': [0.03459186106920242], 'accuracy': [0.9908186793327332]}
