FIT: {'loss': [1.0122532844543457], 'accuracy': [0.7142024636268616]}
EVALUATE: {'loss': [0.15146856009960175], 'accuracy': [0.962254524230957]}
FIT: {'loss': [0.27246907353401184], 'accuracy': [0.9162355065345764]}
EVALUATE: {'loss': [0.07654790580272675], 'accuracy': [0.983422577381134]}
FIT: {'loss': [0.2594451904296875], 'accuracy': [0.9211178421974182]}
EVALUATE: {'loss': [0.05743121728301048], 'accuracy': [0.9880132675170898]}
FIT: {'loss': [0.22819489240646362], 'accuracy': [0.9323398470878601]}
EVALUATE: {'loss': [0.061422448605298996], 'accuracy': [0.9853779077529907]}
FIT: {'loss': [0.23015764355659485], 'accuracy': [0.9300444722175598]}
EVALUATE: {'loss': [0.04703095927834511], 'accuracy': [0.987503170967102]}
FIT: {'loss': [0.1700914353132248], 'accuracy': [0.9490635991096497]}
EVALUATE: {'loss': [0.047229696065187454], 'accuracy': [0.9871631264686584]}
FIT: {'loss': [0.15492738783359528], 'accuracy': [0.9532172083854675]}
EVALUATE: {'loss': [0.035625312477350235], 'accuracy': [0.991838812828064]}
