FIT: {'loss': [0.9573971033096313], 'accuracy': [0.726444661617279]}
EVALUATE: {'loss': [0.1538810431957245], 'accuracy': [0.9568137526512146]}
FIT: {'loss': [0.22999396920204163], 'accuracy': [0.9305909872055054]}
EVALUATE: {'loss': [0.07050905376672745], 'accuracy': [0.9818073511123657]}
FIT: {'loss': [0.17936035990715027], 'accuracy': [0.9471325278282166]}
EVALUATE: {'loss': [0.03740357235074043], 'accuracy': [0.9904786348342896]}
FIT: {'loss': [0.15024420619010925], 'accuracy': [0.9539459347724915]}
EVALUATE: {'loss': [0.03152232989668846], 'accuracy': [0.9921788573265076]}
FIT: {'loss': [0.17270268499851227], 'accuracy': [0.9477519392967224]}
EVALUATE: {'loss': [0.036593299359083176], 'accuracy': [0.9905636310577393]}
