FIT: {'loss': [0.9853644371032715], 'accuracy': [0.7221817374229431]}
EVALUATE: {'loss': [0.14387661218643188], 'accuracy': [0.9591090679168701]}
FIT: {'loss': [0.1742393970489502], 'accuracy': [0.9475697875022888]}
EVALUATE: {'loss': [0.03478012606501579], 'accuracy': [0.9903085827827454]}
FIT: {'loss': [0.14597782492637634], 'accuracy': [0.9563871026039124]}
EVALUATE: {'loss': [0.037873003631830215], 'accuracy': [0.9895434975624084]}
FIT: {'loss': [0.17656080424785614], 'accuracy': [0.9480434060096741]}
EVALUATE: {'loss': [0.034025054425001144], 'accuracy': [0.9915837645530701]}
FIT: {'loss': [0.14391234517097473], 'accuracy': [0.9567514657974243]}
EVALUATE: {'loss': [0.030089987441897392], 'accuracy': [0.9929440021514893]}
FIT: {'loss': [0.15067386627197266], 'accuracy': [0.9540552496910095]}
EVALUATE: {'loss': [0.036511342972517014], 'accuracy': [0.9895434975624084]}
FIT: {'loss': [0.11387499421834946], 'accuracy': [0.9668804407119751]}
EVALUATE: {'loss': [0.028856594115495682], 'accuracy': [0.993028998374939]}
FIT: {'loss': [0.12292195111513138], 'accuracy': [0.9631640315055847]}
EVALUATE: {'loss': [0.020411593839526176], 'accuracy': [0.9953243136405945]}
