FIT: {'loss': [0.9790604710578918], 'accuracy': [0.7213437557220459]}
EVALUATE: {'loss': [0.1553446501493454], 'accuracy': [0.9632746577262878]}
FIT: {'loss': [0.2294701486825943], 'accuracy': [0.9293886423110962]}
EVALUATE: {'loss': [0.0533190481364727], 'accuracy': [0.9878432154655457]}
FIT: {'loss': [0.18027158081531525], 'accuracy': [0.9461123943328857]}
EVALUATE: {'loss': [0.041888993233442307], 'accuracy': [0.9879282712936401]}
FIT: {'loss': [0.14736151695251465], 'accuracy': [0.9552575945854187]}
EVALUATE: {'loss': [0.03706728294491768], 'accuracy': [0.9907336831092834]}
FIT: {'loss': [0.18263491988182068], 'accuracy': [0.9473511576652527]}
EVALUATE: {'loss': [0.075111523270607], 'accuracy': [0.9858879446983337]}
FIT: {'loss': [0.14794160425662994], 'accuracy': [0.9558041095733643]}
EVALUATE: {'loss': [0.02943912148475647], 'accuracy': [0.9926889538764954]}
