FIT: {'loss': [0.9856420755386353], 'accuracy': [0.7201049327850342]}
EVALUATE: {'loss': [0.15444229543209076], 'accuracy': [0.9611493945121765]}
FIT: {'loss': [0.2757560908794403], 'accuracy': [0.9160168766975403]}
EVALUATE: {'loss': [0.08331989496946335], 'accuracy': [0.9785768985748291]}
FIT: {'loss': [0.22211694717407227], 'accuracy': [0.9337608218193054]}
EVALUATE: {'loss': [0.05243481695652008], 'accuracy': [0.9874181747436523]}
FIT: {'loss': [0.20478959381580353], 'accuracy': [0.936967134475708]}
EVALUATE: {'loss': [0.050858963280916214], 'accuracy': [0.9882683157920837]}
FIT: {'loss': [0.20396660268306732], 'accuracy': [0.938679575920105]}
EVALUATE: {'loss': [0.03566380962729454], 'accuracy': [0.9914137721061707]}
FIT: {'loss': [0.17120139300823212], 'accuracy': [0.9485535025596619]}
EVALUATE: {'loss': [0.03756105899810791], 'accuracy': [0.9920938611030579]}
