FIT: {'loss': [0.9946634769439697], 'accuracy': [0.7187932729721069]}
EVALUATE: {'loss': [0.1622970551252365], 'accuracy': [0.9574088454246521]}
FIT: {'loss': [0.27456459403038025], 'accuracy': [0.9166362881660461]}
EVALUATE: {'loss': [0.05529026687145233], 'accuracy': [0.9860579967498779]}
FIT: {'loss': [0.21725063025951385], 'accuracy': [0.9345259666442871]}
EVALUATE: {'loss': [0.05583484098315239], 'accuracy': [0.9850378036499023]}
FIT: {'loss': [0.2062481939792633], 'accuracy': [0.9367120862007141]}
EVALUATE: {'loss': [0.04517687112092972], 'accuracy': [0.9891183972358704]}
FIT: {'loss': [0.20031699538230896], 'accuracy': [0.9402098655700684]}
EVALUATE: {'loss': [0.06335703283548355], 'accuracy': [0.9875882267951965]}
FIT: {'loss': [0.17120720446109772], 'accuracy': [0.9488085508346558]}
EVALUATE: {'loss': [0.03693358227610588], 'accuracy': [0.9914987683296204]}
