FIT: {'loss': [1.0072342157363892], 'accuracy': [0.7151497602462769]}
EVALUATE: {'loss': [0.18720175325870514], 'accuracy': [0.9443169236183167]}
FIT: {'loss': [0.2796843647956848], 'accuracy': [0.9152882099151611]}
EVALUATE: {'loss': [0.06398531049489975], 'accuracy': [0.9827424883842468]}
FIT: {'loss': [0.21820537745952606], 'accuracy': [0.9349632263183594]}
EVALUATE: {'loss': [0.05402883142232895], 'accuracy': [0.9835076332092285]}
FIT: {'loss': [0.2053966373205185], 'accuracy': [0.9382059574127197]}
EVALUATE: {'loss': [0.04114753007888794], 'accuracy': [0.9891183972358704]}
FIT: {'loss': [0.20313534140586853], 'accuracy': [0.9394083023071289]}
EVALUATE: {'loss': [0.043793920427560806], 'accuracy': [0.988693356513977]}
FIT: {'loss': [0.1746276319026947], 'accuracy': [0.9500473737716675]}
EVALUATE: {'loss': [0.039617814123630524], 'accuracy': [0.9909036755561829]}
FIT: {'loss': [0.1505766063928604], 'accuracy': [0.9542738199234009]}
EVALUATE: {'loss': [0.039755936712026596], 'accuracy': [0.9891183972358704]}
FIT: {'loss': [0.1407480537891388], 'accuracy': [0.9572979807853699]}
EVALUATE: {'loss': [0.02502286806702614], 'accuracy': [0.9939641356468201]}
