FIT: {'loss': [0.9563409090042114], 'accuracy': [0.729869544506073]}
EVALUATE: {'loss': [0.14014042913913727], 'accuracy': [0.963444709777832]}
FIT: {'loss': [0.14088885486125946], 'accuracy': [0.9594112038612366]}
EVALUATE: {'loss': [0.03221598640084267], 'accuracy': [0.9909036755561829]}
FIT: {'loss': [0.12400710582733154], 'accuracy': [0.9629818797111511]}
EVALUATE: {'loss': [0.03411804884672165], 'accuracy': [0.9926038980484009]}
FIT: {'loss': [0.1223207488656044], 'accuracy': [0.9634554982185364]}
EVALUATE: {'loss': [0.02743588201701641], 'accuracy': [0.9926889538764954]}
FIT: {'loss': [0.10662145912647247], 'accuracy': [0.9673540592193604]}
EVALUATE: {'loss': [0.021388156339526176], 'accuracy': [0.9944741725921631]}
FIT: {'loss': [0.11142459511756897], 'accuracy': [0.9666982293128967]}
EVALUATE: {'loss': [0.02650386467576027], 'accuracy': [0.9937090873718262]}
