FIT: {'loss': [0.9792751669883728], 'accuracy': [0.7237484455108643]}
EVALUATE: {'loss': [0.16997118294239044], 'accuracy': [0.9544333815574646]}
FIT: {'loss': [0.2281525433063507], 'accuracy': [0.9309553503990173]}
EVALUATE: {'loss': [0.05454089120030403], 'accuracy': [0.9863130450248718]}
FIT: {'loss': [0.2059178650379181], 'accuracy': [0.9371128678321838]}
EVALUATE: {'loss': [0.04874873906373978], 'accuracy': [0.9883533120155334]}
FIT: {'loss': [0.2024989128112793], 'accuracy': [0.9404284954071045]}
EVALUATE: {'loss': [0.03973419964313507], 'accuracy': [0.9897985458374023]}
FIT: {'loss': [0.1713854968547821], 'accuracy': [0.9497194290161133]}
EVALUATE: {'loss': [0.03420885279774666], 'accuracy': [0.9920938611030579]}
FIT: {'loss': [0.15722547471523285], 'accuracy': [0.9515047669410706]}
EVALUATE: {'loss': [0.02841813862323761], 'accuracy': [0.9926889538764954]}
FIT: {'loss': [0.14026932418346405], 'accuracy': [0.9590833187103271]}
EVALUATE: {'loss': [0.032033778727054596], 'accuracy': [0.9917538166046143]}
FIT: {'loss': [0.13103348016738892], 'accuracy': [0.9613422751426697]}
EVALUATE: {'loss': [0.022383499890565872], 'accuracy': [0.9952393174171448]}
