FIT: {'loss': [0.9757248759269714], 'accuracy': [0.7245500087738037]}
EVALUATE: {'loss': [0.16996778547763824], 'accuracy': [0.9583439826965332]}
FIT: {'loss': [0.2788172662258148], 'accuracy': [0.9157618880271912]}
EVALUATE: {'loss': [0.08226437121629715], 'accuracy': [0.9811272621154785]}
FIT: {'loss': [0.21888726949691772], 'accuracy': [0.9350360631942749]}
EVALUATE: {'loss': [0.05358882620930672], 'accuracy': [0.9879282712936401]}
FIT: {'loss': [0.20498767495155334], 'accuracy': [0.9388253092765808]}
EVALUATE: {'loss': [0.04268936440348625], 'accuracy': [0.988948404788971]}
FIT: {'loss': [0.20260755717754364], 'accuracy': [0.9393718838691711]}
EVALUATE: {'loss': [0.03843748942017555], 'accuracy': [0.9909886717796326]}
FIT: {'loss': [0.17657071352005005], 'accuracy': [0.9469867944717407]}
EVALUATE: {'loss': [0.05798777937889099], 'accuracy': [0.9851228594779968]}
FIT: {'loss': [0.15222439169883728], 'accuracy': [0.9533994197845459]}
EVALUATE: {'loss': [0.04594848304986954], 'accuracy': [0.9905636310577393]}
FIT: {'loss': [0.1391856074333191], 'accuracy': [0.9577351808547974]}
EVALUATE: {'loss': [0.03115488961338997], 'accuracy': [0.9915837645530701]}
FIT: {'loss': [0.13014055788516998], 'accuracy': [0.9633461833000183]}
EVALUATE: {'loss': [0.03332085907459259], 'accuracy': [0.9903085827827454]}
