FIT: {'loss': [0.9876376390457153], 'accuracy': [0.7204692959785461]}
EVALUATE: {'loss': [0.16877391934394836], 'accuracy': [0.9638697504997253]}
FIT: {'loss': [0.1416155993938446], 'accuracy': [0.9572979807853699]}
EVALUATE: {'loss': [0.0425151064991951], 'accuracy': [0.9891183972358704]}
FIT: {'loss': [0.12864108383655548], 'accuracy': [0.9617066383361816]}
EVALUATE: {'loss': [0.0318911038339138], 'accuracy': [0.9938791394233704]}
FIT: {'loss': [0.11530675739049911], 'accuracy': [0.9665160775184631]}
EVALUATE: {'loss': [0.027957530692219734], 'accuracy': [0.9931139945983887]}
FIT: {'loss': [0.11262303590774536], 'accuracy': [0.9669896960258484]}
EVALUATE: {'loss': [0.02765381708741188], 'accuracy': [0.9929440021514893]}
FIT: {'loss': [0.11093087494373322], 'accuracy': [0.9667347073554993]}
EVALUATE: {'loss': [0.02106468193233013], 'accuracy': [0.9933690428733826]}
FIT: {'loss': [0.10556112229824066], 'accuracy': [0.9679006338119507]}
EVALUATE: {'loss': [0.022456208243966103], 'accuracy': [0.9941341280937195]}
