FIT: {'loss': [0.9822392463684082], 'accuracy': [0.7229833006858826]}
EVALUATE: {'loss': [0.16522939503192902], 'accuracy': [0.9551134705543518]}
FIT: {'loss': [0.2219325751066208], 'accuracy': [0.9318662285804749]}
EVALUATE: {'loss': [0.05559227243065834], 'accuracy': [0.9850378036499023]}
FIT: {'loss': [0.20897233486175537], 'accuracy': [0.9380601644515991]}
EVALUATE: {'loss': [0.059103891253471375], 'accuracy': [0.9855479001998901]}
FIT: {'loss': [0.2048741579055786], 'accuracy': [0.9378780126571655]}
EVALUATE: {'loss': [0.0457707978785038], 'accuracy': [0.9884383082389832]}
FIT: {'loss': [0.171164870262146], 'accuracy': [0.9485535025596619]}
EVALUATE: {'loss': [0.05128655582666397], 'accuracy': [0.986568033695221]}
