FIT: {'loss': [0.9907686114311218], 'accuracy': [0.7193033695220947]}
EVALUATE: {'loss': [0.15615393221378326], 'accuracy': [0.9557085633277893]}
FIT: {'loss': [0.28098881244659424], 'accuracy': [0.9153246283531189]}
EVALUATE: {'loss': [0.06739094108343124], 'accuracy': [0.9818923473358154]}
FIT: {'loss': [0.23029349744319916], 'accuracy': [0.932594895362854]}
EVALUATE: {'loss': [0.05855074152350426], 'accuracy': [0.9845277667045593]}
FIT: {'loss': [0.20656944811344147], 'accuracy': [0.9378051161766052]}
EVALUATE: {'loss': [0.06019512563943863], 'accuracy': [0.9827424883842468]}
FIT: {'loss': [0.1961764693260193], 'accuracy': [0.9410843253135681]}
EVALUATE: {'loss': [0.05206923186779022], 'accuracy': [0.984612762928009]}
FIT: {'loss': [0.1694888472557068], 'accuracy': [0.9496465921401978]}
EVALUATE: {'loss': [0.052235960960388184], 'accuracy': [0.9878432154655457]}
FIT: {'loss': [0.15216074883937836], 'accuracy': [0.9548203945159912]}
EVALUATE: {'loss': [0.029776569455862045], 'accuracy': [0.9927739500999451]}
FIT: {'loss': [0.13740430772304535], 'accuracy': [0.9582088589668274]}
EVALUATE: {'loss': [0.026156267151236534], 'accuracy': [0.9927739500999451]}
FIT: {'loss': [0.12428387254476547], 'accuracy': [0.9640020132064819]}
EVALUATE: {'loss': [0.04224428907036781], 'accuracy': [0.9919238090515137]}
