FIT: {'loss': [0.9739605784416199], 'accuracy': [0.7272826433181763]}
EVALUATE: {'loss': [0.14043623208999634], 'accuracy': [0.9662501215934753]}
FIT: {'loss': [0.27137893438339233], 'accuracy': [0.9182758927345276]}
EVALUATE: {'loss': [0.049143336713314056], 'accuracy': [0.9876732230186462]}
FIT: {'loss': [0.22076252102851868], 'accuracy': [0.9331049919128418]}
EVALUATE: {'loss': [0.046732399612665176], 'accuracy': [0.9883533120155334]}
FIT: {'loss': [0.19968637824058533], 'accuracy': [0.938679575920105]}
EVALUATE: {'loss': [0.04687438905239105], 'accuracy': [0.9897985458374023]}
FIT: {'loss': [0.2057170569896698], 'accuracy': [0.9381694793701172]}
EVALUATE: {'loss': [0.04030977189540863], 'accuracy': [0.9892034530639648]}
FIT: {'loss': [0.17045798897743225], 'accuracy': [0.9489907622337341]}
EVALUATE: {'loss': [0.04530481621623039], 'accuracy': [0.9885233640670776]}
FIT: {'loss': [0.15459010004997253], 'accuracy': [0.9545288681983948]}
EVALUATE: {'loss': [0.03236179053783417], 'accuracy': [0.991838812828064]}
