FIT: {'loss': [1.0007188320159912], 'accuracy': [0.7172994017601013]}
EVALUATE: {'loss': [0.17870907485485077], 'accuracy': [0.9503527879714966]}
FIT: {'loss': [0.26609838008880615], 'accuracy': [0.9181301593780518]}
EVALUATE: {'loss': [0.0867794007062912], 'accuracy': [0.9742412567138672]}
FIT: {'loss': [0.22878319025039673], 'accuracy': [0.9307367205619812]}
EVALUATE: {'loss': [0.04503362998366356], 'accuracy': [0.9899685382843018]}
FIT: {'loss': [0.20495279133319855], 'accuracy': [0.9387524724006653]}
EVALUATE: {'loss': [0.044396281242370605], 'accuracy': [0.989883542060852]}
FIT: {'loss': [0.20070183277130127], 'accuracy': [0.9390803575515747]}
EVALUATE: {'loss': [0.04466811940073967], 'accuracy': [0.9891183972358704]}
FIT: {'loss': [0.17463929951190948], 'accuracy': [0.946221649646759]}
EVALUATE: {'loss': [0.04446908086538315], 'accuracy': [0.9891183972358704]}
FIT: {'loss': [0.14948508143424988], 'accuracy': [0.9550025463104248]}
EVALUATE: {'loss': [0.039421502500772476], 'accuracy': [0.989458441734314]}
FIT: {'loss': [0.14201803505420685], 'accuracy': [0.9579173922538757]}
EVALUATE: {'loss': [0.02375706098973751], 'accuracy': [0.9937940835952759]}
FIT: {'loss': [0.1253172606229782], 'accuracy': [0.9630911350250244]}
EVALUATE: {'loss': [0.028627190738916397], 'accuracy': [0.993028998374939]}
FIT: {'loss': [0.12057275325059891], 'accuracy': [0.9636741280555725]}
EVALUATE: {'loss': [0.02847396954894066], 'accuracy': [0.9915837645530701]}
