FIT: {'loss': [1.0445994138717651], 'accuracy': [0.7065145969390869]}
EVALUATE: {'loss': [0.17340925335884094], 'accuracy': [0.959874153137207]}
FIT: {'loss': [0.2824534773826599], 'accuracy': [0.9139400720596313]}
EVALUATE: {'loss': [0.05547171086072922], 'accuracy': [0.9844427704811096]}
FIT: {'loss': [0.27799567580223083], 'accuracy': [0.9152517914772034]}
EVALUATE: {'loss': [0.0634298175573349], 'accuracy': [0.9825724959373474]}
FIT: {'loss': [0.17178615927696228], 'accuracy': [0.9498287439346313]}
EVALUATE: {'loss': [0.03357363119721413], 'accuracy': [0.9920938611030579]}
FIT: {'loss': [0.11965571343898773], 'accuracy': [0.9646943211555481]}
EVALUATE: {'loss': [0.02819846011698246], 'accuracy': [0.9931989908218384]}
