FIT: {'loss': [1.0365403890609741], 'accuracy': [0.707461953163147]}
EVALUATE: {'loss': [0.17334626615047455], 'accuracy': [0.9591940641403198]}
FIT: {'loss': [0.28253835439682007], 'accuracy': [0.9139400720596313]}
EVALUATE: {'loss': [0.07541362941265106], 'accuracy': [0.9835926294326782]}
FIT: {'loss': [0.2846825122833252], 'accuracy': [0.9149967432022095]}
EVALUATE: {'loss': [0.060445621609687805], 'accuracy': [0.9852078557014465]}
FIT: {'loss': [0.16605344414710999], 'accuracy': [0.9504481554031372]}
EVALUATE: {'loss': [0.043318890035152435], 'accuracy': [0.9902235865592957]}
FIT: {'loss': [0.12159973382949829], 'accuracy': [0.963236927986145]}
EVALUATE: {'loss': [0.028478845953941345], 'accuracy': [0.993539035320282]}
