FIT: {'loss': [0.9815037250518799], 'accuracy': [0.7219995856285095]}
EVALUATE: {'loss': [0.18147045373916626], 'accuracy': [0.952393114566803]}
FIT: {'loss': [0.1697443425655365], 'accuracy': [0.9481163024902344]}
EVALUATE: {'loss': [0.040049269795417786], 'accuracy': [0.988948404788971]}
FIT: {'loss': [0.16643139719963074], 'accuracy': [0.9512133002281189]}
EVALUATE: {'loss': [0.03611573576927185], 'accuracy': [0.9917538166046143]}
FIT: {'loss': [0.15198393166065216], 'accuracy': [0.9542738199234009]}
EVALUATE: {'loss': [0.03306625783443451], 'accuracy': [0.9920088648796082]}
FIT: {'loss': [0.14048433303833008], 'accuracy': [0.9582452774047852]}
EVALUATE: {'loss': [0.02751116454601288], 'accuracy': [0.9937940835952759]}
FIT: {'loss': [0.12948748469352722], 'accuracy': [0.9622167348861694]}
EVALUATE: {'loss': [0.027962883934378624], 'accuracy': [0.993539035320282]}
FIT: {'loss': [0.12627027928829193], 'accuracy': [0.9652408361434937]}
EVALUATE: {'loss': [0.024371638894081116], 'accuracy': [0.994219183921814]}
