FIT: {'loss': [1.0015828609466553], 'accuracy': [0.7190483212471008]}
EVALUATE: {'loss': [0.14899565279483795], 'accuracy': [0.9602992534637451]}
FIT: {'loss': [0.27929845452308655], 'accuracy': [0.9161261916160583]}
EVALUATE: {'loss': [0.06195961683988571], 'accuracy': [0.9855479001998901]}
FIT: {'loss': [0.22678782045841217], 'accuracy': [0.9339430332183838]}
EVALUATE: {'loss': [0.0506112240254879], 'accuracy': [0.9873331785202026]}
FIT: {'loss': [0.2061970829963684], 'accuracy': [0.9380601644515991]}
EVALUATE: {'loss': [0.05491051822900772], 'accuracy': [0.9873331785202026]}
FIT: {'loss': [0.18414750695228577], 'accuracy': [0.945602297782898]}
EVALUATE: {'loss': [0.03528467193245888], 'accuracy': [0.9897985458374023]}
