FIT: {'loss': [1.0161515474319458], 'accuracy': [0.7138016223907471]}
EVALUATE: {'loss': [0.1564307063817978], 'accuracy': [0.9595341086387634]}
FIT: {'loss': [0.15818576514720917], 'accuracy': [0.9521241784095764]}
EVALUATE: {'loss': [0.03236181661486626], 'accuracy': [0.9913287162780762]}
FIT: {'loss': [0.14059075713157654], 'accuracy': [0.9587189555168152]}
EVALUATE: {'loss': [0.03395383059978485], 'accuracy': [0.9917538166046143]}
FIT: {'loss': [0.1287357658147812], 'accuracy': [0.9623260498046875]}
EVALUATE: {'loss': [0.0284897331148386], 'accuracy': [0.9921788573265076]}
FIT: {'loss': [0.11738564074039459], 'accuracy': [0.9656051993370056]}
EVALUATE: {'loss': [0.02902933396399021], 'accuracy': [0.9931989908218384]}
