FIT: {'loss': [1.0072312355041504], 'accuracy': [0.7099759578704834]}
EVALUATE: {'loss': [0.17212185263633728], 'accuracy': [0.9587690234184265]}
FIT: {'loss': [0.3043237030506134], 'accuracy': [0.9076004028320312]}
EVALUATE: {'loss': [0.07810532301664352], 'accuracy': [0.9807022213935852]}
FIT: {'loss': [0.2812558114528656], 'accuracy': [0.9164541363716125]}
EVALUATE: {'loss': [0.07176332920789719], 'accuracy': [0.9815523028373718]}
FIT: {'loss': [0.1712736189365387], 'accuracy': [0.9484442472457886]}
EVALUATE: {'loss': [0.04236191511154175], 'accuracy': [0.9875882267951965]}
FIT: {'loss': [0.1387971192598343], 'accuracy': [0.960212767124176]}
EVALUATE: {'loss': [0.027699897065758705], 'accuracy': [0.9931139945983887]}
FIT: {'loss': [0.10655201971530914], 'accuracy': [0.968009889125824]}
EVALUATE: {'loss': [0.023570848628878593], 'accuracy': [0.9939641356468201]}
FIT: {'loss': [0.08794204145669937], 'accuracy': [0.9746046662330627]}
EVALUATE: {'loss': [0.015226736664772034], 'accuracy': [0.9954093098640442]}
