FIT: {'loss': [1.0251057147979736], 'accuracy': [0.70797199010849]}
EVALUATE: {'loss': [0.20830067992210388], 'accuracy': [0.9460171461105347]}
FIT: {'loss': [0.3047938644886017], 'accuracy': [0.9056693315505981]}
EVALUATE: {'loss': [0.06990743428468704], 'accuracy': [0.9845277667045593]}
FIT: {'loss': [0.2881453335285187], 'accuracy': [0.9140129685401917]}
EVALUATE: {'loss': [0.09282474219799042], 'accuracy': [0.9824874401092529]}
FIT: {'loss': [0.1782805621623993], 'accuracy': [0.9458208680152893]}
EVALUATE: {'loss': [0.046422164887189865], 'accuracy': [0.9900535345077515]}
FIT: {'loss': [0.1350068598985672], 'accuracy': [0.9598484039306641]}
EVALUATE: {'loss': [0.027659999206662178], 'accuracy': [0.9926889538764954]}
FIT: {'loss': [0.10218321532011032], 'accuracy': [0.9696859121322632]}
EVALUATE: {'loss': [0.026603784412145615], 'accuracy': [0.9936240911483765]}
FIT: {'loss': [0.08608272671699524], 'accuracy': [0.9733294248580933]}
EVALUATE: {'loss': [0.0222880020737648], 'accuracy': [0.9939641356468201]}
FIT: {'loss': [0.07772483676671982], 'accuracy': [0.9776652455329895]}
EVALUATE: {'loss': [0.013659965246915817], 'accuracy': [0.9963444471359253]}
