FIT: {'loss': [1.0207369327545166], 'accuracy': [0.709174394607544]}
EVALUATE: {'loss': [0.2053121030330658], 'accuracy': [0.9599592089653015]}
FIT: {'loss': [0.28141602873802185], 'accuracy': [0.9145230650901794]}
EVALUATE: {'loss': [0.061269957572221756], 'accuracy': [0.9863980412483215]}
FIT: {'loss': [0.1785534918308258], 'accuracy': [0.9480069875717163]}
EVALUATE: {'loss': [0.04628247022628784], 'accuracy': [0.9900535345077515]}
FIT: {'loss': [0.1318625807762146], 'accuracy': [0.9597026705741882]}
EVALUATE: {'loss': [0.028155459091067314], 'accuracy': [0.9926889538764954]}
FIT: {'loss': [0.10185275971889496], 'accuracy': [0.9692487120628357]}
EVALUATE: {'loss': [0.02479408122599125], 'accuracy': [0.9931989908218384]}
FIT: {'loss': [0.09192884713411331], 'accuracy': [0.9729286432266235]}
EVALUATE: {'loss': [0.022116506472229958], 'accuracy': [0.9940491318702698]}
