FIT: {'loss': [1.0283704996109009], 'accuracy': [0.7051301002502441]}
EVALUATE: {'loss': [0.1879086047410965], 'accuracy': [0.948822557926178]}
FIT: {'loss': [0.3107934892177582], 'accuracy': [0.9048677682876587]}
EVALUATE: {'loss': [0.0702664777636528], 'accuracy': [0.9824024438858032]}
FIT: {'loss': [0.28465819358825684], 'accuracy': [0.911899745464325]}
EVALUATE: {'loss': [0.05535856634378433], 'accuracy': [0.9869080781936646]}
FIT: {'loss': [0.17119142413139343], 'accuracy': [0.9486628174781799]}
EVALUATE: {'loss': [0.037081778049468994], 'accuracy': [0.989458441734314]}
FIT: {'loss': [0.1357174515724182], 'accuracy': [0.9599941968917847]}
EVALUATE: {'loss': [0.03169301897287369], 'accuracy': [0.9914987683296204]}
FIT: {'loss': [0.10432562232017517], 'accuracy': [0.9691029787063599]}
EVALUATE: {'loss': [0.016513926908373833], 'accuracy': [0.9945592284202576]}
FIT: {'loss': [0.08336073905229568], 'accuracy': [0.9749690294265747]}
EVALUATE: {'loss': [0.019966959953308105], 'accuracy': [0.994219183921814]}
