FIT: {'loss': [1.0282422304153442], 'accuracy': [0.7084820866584778]}
EVALUATE: {'loss': [0.18475690484046936], 'accuracy': [0.9443169236183167]}
FIT: {'loss': [0.133461132645607], 'accuracy': [0.9612329602241516]}
EVALUATE: {'loss': [0.030198099091649055], 'accuracy': [0.9925189018249512]}
FIT: {'loss': [0.10359876602888107], 'accuracy': [0.9696130752563477]}
EVALUATE: {'loss': [0.01946566440165043], 'accuracy': [0.9952393174171448]}
FIT: {'loss': [0.0870879516005516], 'accuracy': [0.9737666845321655]}
EVALUATE: {'loss': [0.016680829226970673], 'accuracy': [0.9952393174171448]}
FIT: {'loss': [0.07565298676490784], 'accuracy': [0.9770094156265259]}
EVALUATE: {'loss': [0.019552309066057205], 'accuracy': [0.9948992729187012]}
FIT: {'loss': [0.06529881805181503], 'accuracy': [0.9804707169532776]}
EVALUATE: {'loss': [0.010516623966395855], 'accuracy': [0.9975346326828003]}
FIT: {'loss': [0.06134643033146858], 'accuracy': [0.9811994433403015]}
EVALUATE: {'loss': [0.011051993817090988], 'accuracy': [0.997109591960907]}
FIT: {'loss': [0.060895126312971115], 'accuracy': [0.9813815951347351]}
EVALUATE: {'loss': [0.008911446668207645], 'accuracy': [0.9977896809577942]}
FIT: {'loss': [0.057195086032152176], 'accuracy': [0.9833855628967285]}
EVALUATE: {'loss': [0.00945135299116373], 'accuracy': [0.9974496364593506]}
