FIT: {'loss': [1.0189498662948608], 'accuracy': [0.7086278796195984]}
EVALUATE: {'loss': [0.20253928005695343], 'accuracy': [0.9444019198417664]}
FIT: {'loss': [0.08864923566579819], 'accuracy': [0.9739852547645569]}
EVALUATE: {'loss': [0.0200825035572052], 'accuracy': [0.9954943656921387]}
FIT: {'loss': [0.07804436981678009], 'accuracy': [0.9769729375839233]}
EVALUATE: {'loss': [0.014693338423967361], 'accuracy': [0.9958344101905823]}
FIT: {'loss': [0.07054142653942108], 'accuracy': [0.9779202938079834]}
EVALUATE: {'loss': [0.014838949777185917], 'accuracy': [0.9961744546890259]}
FIT: {'loss': [0.058550093322992325], 'accuracy': [0.9816731214523315]}
EVALUATE: {'loss': [0.012692178599536419], 'accuracy': [0.9965994954109192]}
