FIT: {'loss': [0.9877979159355164], 'accuracy': [0.7182831764221191]}
EVALUATE: {'loss': [0.15795406699180603], 'accuracy': [0.9578338861465454]}
FIT: {'loss': [0.1977558434009552], 'accuracy': [0.9402098655700684]}
EVALUATE: {'loss': [0.034782662987709045], 'accuracy': [0.9903935790061951]}
FIT: {'loss': [0.1718984991312027], 'accuracy': [0.9483349323272705]}
EVALUATE: {'loss': [0.03391105681657791], 'accuracy': [0.9927739500999451]}
FIT: {'loss': [0.1511688530445099], 'accuracy': [0.9556583762168884]}
EVALUATE: {'loss': [0.03294649347662926], 'accuracy': [0.9908186793327332]}
FIT: {'loss': [0.13788703083992004], 'accuracy': [0.9587917923927307]}
EVALUATE: {'loss': [0.031115099787712097], 'accuracy': [0.9914987683296204]}
FIT: {'loss': [0.12212488800287247], 'accuracy': [0.9625810980796814]}
EVALUATE: {'loss': [0.028928037732839584], 'accuracy': [0.993028998374939]}
FIT: {'loss': [0.11750993132591248], 'accuracy': [0.9642206430435181]}
EVALUATE: {'loss': [0.022933192551136017], 'accuracy': [0.9944741725921631]}
FIT: {'loss': [0.10878610610961914], 'accuracy': [0.9670990109443665]}
EVALUATE: {'loss': [0.025472698733210564], 'accuracy': [0.9923489093780518]}
FIT: {'loss': [0.11106433719396591], 'accuracy': [0.9674269556999207]}
EVALUATE: {'loss': [0.02940864861011505], 'accuracy': [0.9928589463233948]}
