FIT: {'loss': [0.9811604022979736], 'accuracy': [0.724149227142334]}
EVALUATE: {'loss': [0.14405836164951324], 'accuracy': [0.9595341086387634]}
FIT: {'loss': [0.2064809799194336], 'accuracy': [0.9372950792312622]}
EVALUATE: {'loss': [0.05614117160439491], 'accuracy': [0.9863130450248718]}
FIT: {'loss': [0.17040933668613434], 'accuracy': [0.9486263990402222]}
EVALUATE: {'loss': [0.04615435004234314], 'accuracy': [0.9888634085655212]}
FIT: {'loss': [0.151248499751091], 'accuracy': [0.9537637829780579]}
EVALUATE: {'loss': [0.04174167290329933], 'accuracy': [0.987503170967102]}
FIT: {'loss': [0.13728652894496918], 'accuracy': [0.9593383073806763]}
EVALUATE: {'loss': [0.02963911183178425], 'accuracy': [0.9933690428733826]}
FIT: {'loss': [0.12366992235183716], 'accuracy': [0.9628360867500305]}
EVALUATE: {'loss': [0.04715290293097496], 'accuracy': [0.986568033695221]}
FIT: {'loss': [0.121779665350914], 'accuracy': [0.9635283946990967]}
EVALUATE: {'loss': [0.02873491868376732], 'accuracy': [0.9920088648796082]}
FIT: {'loss': [0.11328739672899246], 'accuracy': [0.9673905372619629]}
EVALUATE: {'loss': [0.01946745440363884], 'accuracy': [0.9949842691421509]}
