FIT: {'loss': [0.9817935824394226], 'accuracy': [0.7230926156044006]}
EVALUATE: {'loss': [0.15593190491199493], 'accuracy': [0.9609793424606323]}
FIT: {'loss': [0.19833408296108246], 'accuracy': [0.9416672587394714]}
EVALUATE: {'loss': [0.058159757405519485], 'accuracy': [0.9859729409217834]}
FIT: {'loss': [0.17175324261188507], 'accuracy': [0.9490271806716919]}
EVALUATE: {'loss': [0.03896438702940941], 'accuracy': [0.9897985458374023]}
FIT: {'loss': [0.16015303134918213], 'accuracy': [0.9513954520225525]}
EVALUATE: {'loss': [0.04701394960284233], 'accuracy': [0.9896284937858582]}
FIT: {'loss': [0.14395524561405182], 'accuracy': [0.9572615027427673]}
EVALUATE: {'loss': [0.03893932327628136], 'accuracy': [0.9902235865592957]}
FIT: {'loss': [0.12448103725910187], 'accuracy': [0.9643663763999939]}
EVALUATE: {'loss': [0.036639027297496796], 'accuracy': [0.9890334010124207]}
FIT: {'loss': [0.11807595193386078], 'accuracy': [0.9650222063064575]}
EVALUATE: {'loss': [0.028027217835187912], 'accuracy': [0.9922638535499573]}
FIT: {'loss': [0.10977514088153839], 'accuracy': [0.9674269556999207]}
EVALUATE: {'loss': [0.02254384756088257], 'accuracy': [0.9936240911483765]}
