FIT: {'loss': [0.9730659127235413], 'accuracy': [0.7253151535987854]}
EVALUATE: {'loss': [0.1552237570285797], 'accuracy': [0.9585989713668823]}
FIT: {'loss': [0.20121438801288605], 'accuracy': [0.9407563805580139]}
EVALUATE: {'loss': [0.045529622584581375], 'accuracy': [0.989458441734314]}
FIT: {'loss': [0.17737942934036255], 'accuracy': [0.9472783207893372]}
EVALUATE: {'loss': [0.06147398799657822], 'accuracy': [0.9857179522514343]}
FIT: {'loss': [0.1607266217470169], 'accuracy': [0.952670693397522]}
EVALUATE: {'loss': [0.0335688591003418], 'accuracy': [0.990648627281189]}
FIT: {'loss': [0.14529840648174286], 'accuracy': [0.9561320543289185]}
EVALUATE: {'loss': [0.02955729328095913], 'accuracy': [0.9931989908218384]}
FIT: {'loss': [0.12462607771158218], 'accuracy': [0.9634190797805786]}
EVALUATE: {'loss': [0.023844284936785698], 'accuracy': [0.9938791394233704]}
FIT: {'loss': [0.12359548360109329], 'accuracy': [0.9638198614120483]}
EVALUATE: {'loss': [0.03262341395020485], 'accuracy': [0.9940491318702698]}
