FIT: {'loss': [0.958911120891571], 'accuracy': [0.7286671996116638]}
EVALUATE: {'loss': [0.15378659963607788], 'accuracy': [0.9609793424606323]}
FIT: {'loss': [0.22590772807598114], 'accuracy': [0.9306638240814209]}
EVALUATE: {'loss': [0.04922311753034592], 'accuracy': [0.9874181747436523]}
FIT: {'loss': [0.20495079457759857], 'accuracy': [0.9382787942886353]}
EVALUATE: {'loss': [0.048670798540115356], 'accuracy': [0.9878432154655457]}
FIT: {'loss': [0.2025148570537567], 'accuracy': [0.9392625689506531]}
EVALUATE: {'loss': [0.04741364344954491], 'accuracy': [0.988948404788971]}
FIT: {'loss': [0.1745050996541977], 'accuracy': [0.9478248357772827]}
EVALUATE: {'loss': [0.04370611160993576], 'accuracy': [0.9875882267951965]}
FIT: {'loss': [0.14978419244289398], 'accuracy': [0.9552211761474609]}
EVALUATE: {'loss': [0.031062986701726913], 'accuracy': [0.9934540390968323]}
