FIT: {'loss': [0.979584276676178], 'accuracy': [0.7258981466293335]}
EVALUATE: {'loss': [0.16861848533153534], 'accuracy': [0.9600442051887512]}
FIT: {'loss': [0.2764057517051697], 'accuracy': [0.9146687984466553]}
EVALUATE: {'loss': [0.07962687313556671], 'accuracy': [0.9835926294326782]}
FIT: {'loss': [0.21742574870586395], 'accuracy': [0.9340158700942993]}
EVALUATE: {'loss': [0.06993040442466736], 'accuracy': [0.9840176701545715]}
FIT: {'loss': [0.20455826818943024], 'accuracy': [0.9383516907691956]}
EVALUATE: {'loss': [0.048546094447374344], 'accuracy': [0.9863130450248718]}
FIT: {'loss': [0.19699257612228394], 'accuracy': [0.939626932144165]}
EVALUATE: {'loss': [0.0383930578827858], 'accuracy': [0.9903085827827454]}
FIT: {'loss': [0.17147983610630035], 'accuracy': [0.9469139575958252]}
EVALUATE: {'loss': [0.04030243679881096], 'accuracy': [0.9897134900093079]}
FIT: {'loss': [0.1512666642665863], 'accuracy': [0.9537637829780579]}
EVALUATE: {'loss': [0.032351862639188766], 'accuracy': [0.9911587238311768]}
