FIT: {'loss': [2.9271152019500732], 'accuracy': [0.262458473443985]}
EVALUATE: {'loss': [2.661151170730591], 'accuracy': [0.4011628031730652]}
FIT: {'loss': [2.538717269897461], 'accuracy': [0.36378738284111023]}
EVALUATE: {'loss': [2.1966419219970703], 'accuracy': [0.41860464215278625]}
FIT: {'loss': [2.5587055683135986], 'accuracy': [0.33056479692459106]}
EVALUATE: {'loss': [2.2876598834991455], 'accuracy': [0.447674423456192]}
FIT: {'loss': [2.343738555908203], 'accuracy': [0.39036545157432556]}
EVALUATE: {'loss': [2.042825937271118], 'accuracy': [0.5116279125213623]}
FIT: {'loss': [2.317943572998047], 'accuracy': [0.4169435203075409]}
EVALUATE: {'loss': [2.362450122833252], 'accuracy': [0.4127906858921051]}
