Tipo: ENVIO | Node: RSU_100000 | MsgID: 326989 | Tempo: 21655.1
Tipo: RECEBIMENTO | Node: 18 | MsgID: 338370 | Tempo: 21656
Tipo: ENVIO | Node: RSU_100000 | MsgID: 339660 | Tempo: 21656.1
Tipo: RECEBIMENTO | Node: 22 | MsgID: 347550 | Tempo: 21656.7
Tipo: ENVIO | Node: RSU_100000 | MsgID: 352380 | Tempo: 21657.1
Tipo: RECEBIMENTO | Node: 19 | MsgID: 358536 | Tempo: 21657.6
Tipo: ENVIO | Node: RSU_100000 | MsgID: 365431 | Tempo: 21658.1
Tipo: RECEBIMENTO | Node: 22 | MsgID: 373572 | Tempo: 21658.7
Tipo: ENVIO | Node: RSU_100000 | MsgID: 378531 | Tempo: 21659.1
Tipo: RECEBIMENTO | Node: 34 | MsgID: 383764 | Tempo: 21659.5
Tipo: ENVIO | Node: RSU_100000 | MsgID: 391972 | Tempo: 21660.1
Tipo: RECEBIMENTO | Node: 19 | MsgID: 398308 | Tempo: 21660.6
Tipo: ENVIO | Node: RSU_100000 | MsgID: 405403 | Tempo: 21661.1
Tipo: RECEBIMENTO | Node: 22 | MsgID: 413777 | Tempo: 21661.7
Tipo: ENVIO | Node: RSU_100000 | MsgID: 418893 | Tempo: 21662.1
Tipo: RECEBIMENTO | Node: 18 | MsgID: 431385 | Tempo: 21663
Tipo: ENVIO | Node: RSU_100000 | MsgID: 432903 | Tempo: 21663.1
Tipo: ENVIO | Node: RSU_100000 | MsgID: 447622 | Tempo: 21664.1
Tipo: RECEBIMENTO | Node: 15 | MsgID: 450382 | Tempo: 21664.3
Tipo: ENVIO | Node: RSU_100000 | MsgID: 462452 | Tempo: 21665.1
Tipo: RECEBIMENTO | Node: 15 | MsgID: 465343 | Tempo: 21665.3
Tipo: RECEBIMENTO | Node: 22 | MsgID: 472105 | Tempo: 21665.7
Tipo: ENVIO | Node: RSU_100000 | MsgID: 477905 | Tempo: 21666.1
Tipo: RECEBIMENTO | Node: 22 | MsgID: 487526 | Tempo: 21666.7
Tipo: ENVIO | Node: RSU_100000 | MsgID: 493460 | Tempo: 21667.1
Tipo: ENVIO | Node: RSU_100000 | MsgID: 510183 | Tempo: 21668.1
Tipo: RECEBIMENTO | Node: 15 | MsgID: 513546 | Tempo: 21668.3
Tipo: RECEBIMENTO | Node: 22 | MsgID: 521322 | Tempo: 21668.7
Tipo: ENVIO | Node: RSU_100000 | MsgID: 528200 | Tempo: 21669.1
Tipo: RECEBIMENTO | Node: 18 | MsgID: 545054 | Tempo: 21670
