Tipo: ENVIO | Node: RSU_100007 | MsgID: 3254 | Tempo: 21606.1
Tipo: ENVIO | Node: RSU_100007 | MsgID: 4613 | Tempo: 21607.1
Tipo: ENVIO | Node: RSU_100007 | MsgID: 5984 | Tempo: 21608.1
Tipo: ENVIO | Node: RSU_100007 | MsgID: 7543 | Tempo: 21609.1
Tipo: ENVIO | Node: RSU_100007 | MsgID: 9333 | Tempo: 21610.1
Tipo: ENVIO | Node: RSU_100007 | MsgID: 11500 | Tempo: 21611.1
Tipo: ENVIO | Node: RSU_100007 | MsgID: 13717 | Tempo: 21612.1
Tipo: ENVIO | Node: RSU_100007 | MsgID: 15964 | Tempo: 21613.1
Tipo: ENVIO | Node: RSU_100007 | MsgID: 18416 | Tempo: 21614.1
Tipo: ENVIO | Node: RSU_100007 | MsgID: 21149 | Tempo: 21615.1
Tipo: ENVIO | Node: RSU_100007 | MsgID: 23968 | Tempo: 21616.1
Tipo: ENVIO | Node: RSU_100007 | MsgID: 27894 | Tempo: 21617.1
Tipo: ENVIO | Node: RSU_100007 | MsgID: 32542 | Tempo: 21618.1
Tipo: ENVIO | Node: RSU_100007 | MsgID: 37503 | Tempo: 21619.1
Tipo: ENVIO | Node: RSU_100007 | MsgID: 43068 | Tempo: 21620.1
Tipo: ENVIO | Node: RSU_100007 | MsgID: 48958 | Tempo: 21621.1
Tipo: ENVIO | Node: RSU_100007 | MsgID: 54996 | Tempo: 21622.1
Tipo: ENVIO | Node: RSU_100007 | MsgID: 61233 | Tempo: 21623.1
Tipo: ENVIO | Node: RSU_100007 | MsgID: 67912 | Tempo: 21624.1
Tipo: ENVIO | Node: RSU_100007 | MsgID: 74568 | Tempo: 21625.1
Tipo: ENVIO | Node: RSU_100007 | MsgID: 81234 | Tempo: 21626.1
Tipo: ENVIO | Node: RSU_100007 | MsgID: 87938 | Tempo: 21627.1
Tipo: ENVIO | Node: RSU_100007 | MsgID: 94604 | Tempo: 21628.1
Tipo: ENVIO | Node: RSU_100007 | MsgID: 101281 | Tempo: 21629.1
Tipo: RECEBIMENTO | Node: 20 | MsgID: 102881 | Tempo: 21629.3
Tipo: ENVIO | Node: RSU_100007 | MsgID: 108569 | Tempo: 21630.1
Tipo: RECEBIMENTO | Node: 20 | MsgID: 110360 | Tempo: 21630.3
Tipo: ENVIO | Node: RSU_100007 | MsgID: 116660 | Tempo: 21631.1
Tipo: RECEBIMENTO | Node: 20 | MsgID: 118510 | Tempo: 21631.3
Tipo: ENVIO | Node: RSU_100007 | MsgID: 125194 | Tempo: 21632.1
Tipo: ENVIO | Node: RSU_100007 | MsgID: 133892 | Tempo: 21633.1
Tipo: RECEBIMENTO | Node: 20 | MsgID: 135770 | Tempo: 21633.3
Tipo: ENVIO | Node: RSU_100007 | MsgID: 142723 | Tempo: 21634.1
Tipo: ENVIO | Node: RSU_100007 | MsgID: 151765 | Tempo: 21635.1
Tipo: RECEBIMENTO | Node: 20 | MsgID: 153897 | Tempo: 21635.3
Tipo: ENVIO | Node: RSU_100007 | MsgID: 161751 | Tempo: 21636.1
Tipo: ENVIO | Node: RSU_100007 | MsgID: 172051 | Tempo: 21637.1
Tipo: ENVIO | Node: RSU_100007 | MsgID: 183112 | Tempo: 21638.1
Tipo: RECEBIMENTO | Node: 20 | MsgID: 185712 | Tempo: 21638.3
Tipo: ENVIO | Node: RSU_100007 | MsgID: 195224 | Tempo: 21639.1
Tipo: RECEBIMENTO | Node: 20 | MsgID: 197813 | Tempo: 21639.3
Tipo: ENVIO | Node: RSU_100007 | MsgID: 207384 | Tempo: 21640.1
Tipo: RECEBIMENTO | Node: 20 | MsgID: 209957 | Tempo: 21640.3
Tipo: ENVIO | Node: RSU_100007 | MsgID: 219491 | Tempo: 21641.1
Tipo: ENVIO | Node: RSU_100007 | MsgID: 231600 | Tempo: 21642.1
Tipo: RECEBIMENTO | Node: 20 | MsgID: 234190 | Tempo: 21642.3
Tipo: ENVIO | Node: RSU_100007 | MsgID: 243702 | Tempo: 21643.1
Tipo: RECEBIMENTO | Node: 20 | MsgID: 246314 | Tempo: 21643.3
Tipo: ENVIO | Node: RSU_100007 | MsgID: 255924 | Tempo: 21644.1
Tipo: ENVIO | Node: RSU_100007 | MsgID: 268316 | Tempo: 21645.1
Tipo: ENVIO | Node: RSU_100007 | MsgID: 280689 | Tempo: 21646.1
Tipo: ENVIO | Node: RSU_100007 | MsgID: 293320 | Tempo: 21647.1
Tipo: ENVIO | Node: RSU_100007 | MsgID: 305946 | Tempo: 21648.1
Tipo: ENVIO | Node: RSU_100007 | MsgID: 318702 | Tempo: 21649.1
Tipo: RECEBIMENTO | Node: 20 | MsgID: 321560 | Tempo: 21649.3
Tipo: ENVIO | Node: RSU_100007 | MsgID: 332154 | Tempo: 21650.1
