FIT: {'loss': [2.761112689971924], 'accuracy': [0.30079999566078186]}
EVALUATE: {'loss': [2.2159929275512695], 'accuracy': [0.46777546405792236]}
FIT: {'loss': [2.487107515335083], 'accuracy': [0.35280001163482666]}
EVALUATE: {'loss': [1.993466854095459], 'accuracy': [0.5446985363960266]}
FIT: {'loss': [2.411130666732788], 'accuracy': [0.35839998722076416]}
EVALUATE: {'loss': [1.8752857446670532], 'accuracy': [0.5031185150146484]}
FIT: {'loss': [2.2078256607055664], 'accuracy': [0.41600000858306885]}
EVALUATE: {'loss': [1.820502758026123], 'accuracy': [0.49688148498535156]}
FIT: {'loss': [2.3002700805664062], 'accuracy': [0.41440001130104065]}
EVALUATE: {'loss': [1.7120113372802734], 'accuracy': [0.5259875059127808]}
FIT: {'loss': [2.2321200370788574], 'accuracy': [0.41519999504089355]}
EVALUATE: {'loss': [1.7970649003982544], 'accuracy': [0.5758835673332214]}
FIT: {'loss': [2.1127827167510986], 'accuracy': [0.4352000057697296]}
EVALUATE: {'loss': [1.6105968952178955], 'accuracy': [0.5509355664253235]}
FIT: {'loss': [2.1873202323913574], 'accuracy': [0.4375999867916107]}
EVALUATE: {'loss': [1.6245687007904053], 'accuracy': [0.5675675868988037]}
