FIT: {'loss': [2.69452166557312], 'accuracy': [0.317772775888443]}
EVALUATE: {'loss': [2.067997694015503], 'accuracy': [0.5049309730529785]}
FIT: {'loss': [2.2217373847961426], 'accuracy': [0.4201349914073944]}
EVALUATE: {'loss': [1.6394667625427246], 'accuracy': [0.6094674468040466]}
FIT: {'loss': [2.2475852966308594], 'accuracy': [0.4015747904777527]}
EVALUATE: {'loss': [1.4981062412261963], 'accuracy': [0.5936883687973022]}
FIT: {'loss': [2.219087839126587], 'accuracy': [0.42182227969169617]}
EVALUATE: {'loss': [1.5301390886306763], 'accuracy': [0.6272189617156982]}
FIT: {'loss': [2.072991132736206], 'accuracy': [0.4398200213909149]}
EVALUATE: {'loss': [1.412308692932129], 'accuracy': [0.5917159914970398]}
FIT: {'loss': [2.02803111076355], 'accuracy': [0.46175476908683777]}
EVALUATE: {'loss': [1.4932366609573364], 'accuracy': [0.5838264226913452]}
