FIT: {'loss': [3.0358986854553223], 'accuracy': [0.25999999046325684]}
EVALUATE: {'loss': [2.5567948818206787], 'accuracy': [0.4571428596973419]}
FIT: {'loss': [2.8353044986724854], 'accuracy': [0.23999999463558197]}
EVALUATE: {'loss': [2.752401351928711], 'accuracy': [0.2857142984867096]}
FIT: {'loss': [2.5011446475982666], 'accuracy': [0.30000001192092896]}
EVALUATE: {'loss': [2.159144401550293], 'accuracy': [0.5714285969734192]}
FIT: {'loss': [2.8690407276153564], 'accuracy': [0.2800000011920929]}
EVALUATE: {'loss': [2.4156494140625], 'accuracy': [0.6000000238418579]}
FIT: {'loss': [2.432180404663086], 'accuracy': [0.4000000059604645]}
EVALUATE: {'loss': [2.0791749954223633], 'accuracy': [0.5714285969734192]}
FIT: {'loss': [2.186293125152588], 'accuracy': [0.47999998927116394]}
EVALUATE: {'loss': [2.4164929389953613], 'accuracy': [0.34285715222358704]}
FIT: {'loss': [2.2350010871887207], 'accuracy': [0.2800000011920929]}
EVALUATE: {'loss': [2.2179784774780273], 'accuracy': [0.37142857909202576]}
