FIT: {'loss': [2.839738130569458], 'accuracy': [0.26214835047721863]}
EVALUATE: {'loss': [2.402677059173584], 'accuracy': [0.47457626461982727]}
FIT: {'loss': [2.5319020748138428], 'accuracy': [0.34015345573425293]}
EVALUATE: {'loss': [2.200371503829956], 'accuracy': [0.4406779706478119]}
FIT: {'loss': [2.564075469970703], 'accuracy': [0.3529411852359772]}
EVALUATE: {'loss': [1.9656516313552856], 'accuracy': [0.4830508530139923]}
FIT: {'loss': [2.3884928226470947], 'accuracy': [0.38363170623779297]}
EVALUATE: {'loss': [2.0872209072113037], 'accuracy': [0.4661017060279846]}
FIT: {'loss': [2.3919875621795654], 'accuracy': [0.39386188983917236]}
EVALUATE: {'loss': [1.9877924919128418], 'accuracy': [0.4661017060279846]}
FIT: {'loss': [2.411736249923706], 'accuracy': [0.3759590685367584]}
EVALUATE: {'loss': [1.8855383396148682], 'accuracy': [0.5254237055778503]}
FIT: {'loss': [2.4198973178863525], 'accuracy': [0.3759590685367584]}
EVALUATE: {'loss': [1.8052523136138916], 'accuracy': [0.6101694703102112]}
FIT: {'loss': [2.209291934967041], 'accuracy': [0.4258311986923218]}
EVALUATE: {'loss': [1.7576662302017212], 'accuracy': [0.5677965879440308]}
