FIT: {'loss': [2.785288095474243], 'accuracy': [0.27215757966041565]}
EVALUATE: {'loss': [2.0800387859344482], 'accuracy': [0.5071089863777161]}
FIT: {'loss': [2.5583107471466064], 'accuracy': [0.3267681300640106]}
EVALUATE: {'loss': [1.8950505256652832], 'accuracy': [0.5687204003334045]}
FIT: {'loss': [2.3144071102142334], 'accuracy': [0.410922110080719]}
EVALUATE: {'loss': [2.013521671295166], 'accuracy': [0.49289098381996155]}
FIT: {'loss': [2.350004196166992], 'accuracy': [0.3786929249763489]}
EVALUATE: {'loss': [1.7123222351074219], 'accuracy': [0.6303317546844482]}
FIT: {'loss': [2.3788957595825195], 'accuracy': [0.36974036693573]}
EVALUATE: {'loss': [2.059952735900879], 'accuracy': [0.4739336371421814]}
FIT: {'loss': [2.262258291244507], 'accuracy': [0.39749327301979065]}
EVALUATE: {'loss': [1.9194421768188477], 'accuracy': [0.48341232538223267]}
