FIT: {'loss': [2.9663960933685303], 'accuracy': [0.24566474556922913]}
EVALUATE: {'loss': [2.8307504653930664], 'accuracy': [0.2777777910232544]}
FIT: {'loss': [2.437385082244873], 'accuracy': [0.36994218826293945]}
EVALUATE: {'loss': [2.226496934890747], 'accuracy': [0.3888888955116272]}
FIT: {'loss': [2.55884051322937], 'accuracy': [0.34682080149650574]}
EVALUATE: {'loss': [1.9975311756134033], 'accuracy': [0.46296295523643494]}
FIT: {'loss': [2.4259073734283447], 'accuracy': [0.3583815097808838]}
EVALUATE: {'loss': [2.440483331680298], 'accuracy': [0.3888888955116272]}
FIT: {'loss': [2.5126936435699463], 'accuracy': [0.3612716794013977]}
EVALUATE: {'loss': [2.2235636711120605], 'accuracy': [0.5370370149612427]}
FIT: {'loss': [2.1523196697235107], 'accuracy': [0.43063583970069885]}
EVALUATE: {'loss': [2.0580852031707764], 'accuracy': [0.48148149251937866]}
FIT: {'loss': [2.2170016765594482], 'accuracy': [0.40751445293426514]}
EVALUATE: {'loss': [1.761091709136963], 'accuracy': [0.5555555820465088]}
