FIT: {'loss': [2.6852293014526367], 'accuracy': [0.32407405972480774]}
EVALUATE: {'loss': [2.49275279045105], 'accuracy': [0.3478260934352875]}
FIT: {'loss': [2.6742379665374756], 'accuracy': [0.24074074625968933]}
EVALUATE: {'loss': [2.577357530593872], 'accuracy': [0.260869562625885]}
FIT: {'loss': [2.590562582015991], 'accuracy': [0.31481480598449707]}
EVALUATE: {'loss': [2.3903980255126953], 'accuracy': [0.3478260934352875]}
FIT: {'loss': [2.4790709018707275], 'accuracy': [0.4166666567325592]}
EVALUATE: {'loss': [2.564467430114746], 'accuracy': [0.30434781312942505]}
FIT: {'loss': [2.6678407192230225], 'accuracy': [0.42592594027519226]}
EVALUATE: {'loss': [2.6602277755737305], 'accuracy': [0.21739129722118378]}
