FIT: {'loss': [2.984705924987793], 'accuracy': [0.261904776096344]}
EVALUATE: {'loss': [2.743211030960083], 'accuracy': [0.2800000011920929]}
FIT: {'loss': [2.7521636486053467], 'accuracy': [0.3047619163990021]}
EVALUATE: {'loss': [2.5457162857055664], 'accuracy': [0.3799999952316284]}
FIT: {'loss': [2.7552547454833984], 'accuracy': [0.3142857253551483]}
EVALUATE: {'loss': [2.5195538997650146], 'accuracy': [0.30000001192092896]}
FIT: {'loss': [2.518857479095459], 'accuracy': [0.3285714387893677]}
EVALUATE: {'loss': [2.702725887298584], 'accuracy': [0.25999999046325684]}
FIT: {'loss': [2.5074660778045654], 'accuracy': [0.39523810148239136]}
EVALUATE: {'loss': [2.6706554889678955], 'accuracy': [0.25999999046325684]}
FIT: {'loss': [2.655271291732788], 'accuracy': [0.3142857253551483]}
EVALUATE: {'loss': [2.58371639251709], 'accuracy': [0.3199999928474426]}
FIT: {'loss': [2.330671548843384], 'accuracy': [0.4047619104385376]}
EVALUATE: {'loss': [2.5448012351989746], 'accuracy': [0.4000000059604645]}
