FIT: {'loss': [2.830186128616333], 'accuracy': [0.2736625373363495]}
EVALUATE: {'loss': [2.4668617248535156], 'accuracy': [0.4000000059604645]}
FIT: {'loss': [2.701509952545166], 'accuracy': [0.31069958209991455]}
EVALUATE: {'loss': [2.4739181995391846], 'accuracy': [0.33000001311302185]}
FIT: {'loss': [2.693213939666748], 'accuracy': [0.30452674627304077]}
EVALUATE: {'loss': [2.1470184326171875], 'accuracy': [0.47999998927116394]}
FIT: {'loss': [2.7387049198150635], 'accuracy': [0.31481480598449707]}
EVALUATE: {'loss': [2.4224047660827637], 'accuracy': [0.41499999165534973]}
FIT: {'loss': [2.695871114730835], 'accuracy': [0.3189300298690796]}
EVALUATE: {'loss': [2.501551866531372], 'accuracy': [0.36500000953674316]}
FIT: {'loss': [2.4030096530914307], 'accuracy': [0.39711934328079224]}
EVALUATE: {'loss': [2.244400978088379], 'accuracy': [0.38999998569488525]}
FIT: {'loss': [2.411283493041992], 'accuracy': [0.38065844774246216]}
EVALUATE: {'loss': [2.136019229888916], 'accuracy': [0.44999998807907104]}
