FIT: {'loss': [2.8396551609039307], 'accuracy': [0.2905983030796051]}
EVALUATE: {'loss': [2.4910740852355957], 'accuracy': [0.4555555582046509]}
FIT: {'loss': [2.750162363052368], 'accuracy': [0.30158731341362]}
EVALUATE: {'loss': [2.268970251083374], 'accuracy': [0.43888887763023376]}
FIT: {'loss': [2.5989208221435547], 'accuracy': [0.3272283375263214]}
EVALUATE: {'loss': [2.273606300354004], 'accuracy': [0.43888887763023376]}
FIT: {'loss': [2.4138238430023193], 'accuracy': [0.380952388048172]}
EVALUATE: {'loss': [2.1651525497436523], 'accuracy': [0.46666666865348816]}
FIT: {'loss': [2.5854873657226562], 'accuracy': [0.34554335474967957]}
EVALUATE: {'loss': [2.073537826538086], 'accuracy': [0.5277777910232544]}
FIT: {'loss': [2.4806768894195557], 'accuracy': [0.3748473823070526]}
EVALUATE: {'loss': [2.2340610027313232], 'accuracy': [0.4277777671813965]}
FIT: {'loss': [2.397627353668213], 'accuracy': [0.3663003742694855]}
EVALUATE: {'loss': [1.9230241775512695], 'accuracy': [0.5222222208976746]}
