FIT: {'loss': [3.053025007247925], 'accuracy': [0.24686191976070404]}
EVALUATE: {'loss': [2.6478748321533203], 'accuracy': [0.38721805810928345]}
FIT: {'loss': [2.4563658237457275], 'accuracy': [0.35983264446258545]}
EVALUATE: {'loss': [2.313575506210327], 'accuracy': [0.4548872113227844]}
FIT: {'loss': [2.5636870861053467], 'accuracy': [0.33891212940216064]}
EVALUATE: {'loss': [2.5096840858459473], 'accuracy': [0.3796992599964142]}
FIT: {'loss': [2.541476249694824], 'accuracy': [0.3472803235054016]}
EVALUATE: {'loss': [2.2015573978424072], 'accuracy': [0.45864662528038025]}
FIT: {'loss': [2.3378803730010986], 'accuracy': [0.41631799936294556]}
EVALUATE: {'loss': [2.108865976333618], 'accuracy': [0.4661654233932495]}
FIT: {'loss': [2.5143251419067383], 'accuracy': [0.3368200957775116]}
EVALUATE: {'loss': [2.3024442195892334], 'accuracy': [0.38721805810928345]}
FIT: {'loss': [2.260899305343628], 'accuracy': [0.4142259359359741]}
EVALUATE: {'loss': [2.220202684402466], 'accuracy': [0.45864662528038025]}
