FIT: {'loss': [3.324601650238037], 'accuracy': [0.17171716690063477]}
EVALUATE: {'loss': [2.5263397693634033], 'accuracy': [0.42105263471603394]}
FIT: {'loss': [2.64552903175354], 'accuracy': [0.42424243688583374]}
EVALUATE: {'loss': [2.503512144088745], 'accuracy': [0.4736842215061188]}
FIT: {'loss': [2.4835760593414307], 'accuracy': [0.3636363744735718]}
EVALUATE: {'loss': [3.023186206817627], 'accuracy': [0.15789473056793213]}
FIT: {'loss': [2.4619317054748535], 'accuracy': [0.38383838534355164]}
EVALUATE: {'loss': [2.2540743350982666], 'accuracy': [0.4736842215061188]}
FIT: {'loss': [2.739454984664917], 'accuracy': [0.31313130259513855]}
EVALUATE: {'loss': [2.6284284591674805], 'accuracy': [0.2631579041481018]}
FIT: {'loss': [2.3020248413085938], 'accuracy': [0.38383838534355164]}
EVALUATE: {'loss': [1.9642680883407593], 'accuracy': [0.5263158082962036]}
FIT: {'loss': [2.4430594444274902], 'accuracy': [0.3737373650074005]}
EVALUATE: {'loss': [1.9147933721542358], 'accuracy': [0.4736842215061188]}
