FIT: {'loss': [2.8922553062438965], 'accuracy': [0.2735632061958313]}
EVALUATE: {'loss': [3.157733201980591], 'accuracy': [0.24285714328289032]}
FIT: {'loss': [2.6467089653015137], 'accuracy': [0.31494253873825073]}
EVALUATE: {'loss': [2.573467254638672], 'accuracy': [0.2857142984867096]}
FIT: {'loss': [2.750394344329834], 'accuracy': [0.27126437425613403]}
EVALUATE: {'loss': [2.3134713172912598], 'accuracy': [0.4571428596973419]}
FIT: {'loss': [2.732572555541992], 'accuracy': [0.29885056614875793]}
EVALUATE: {'loss': [2.4446754455566406], 'accuracy': [0.4000000059604645]}
FIT: {'loss': [2.5010342597961426], 'accuracy': [0.39080458879470825]}
EVALUATE: {'loss': [1.9658135175704956], 'accuracy': [0.5]}
