FIT: {'loss': [2.9555938243865967], 'accuracy': [0.24669604003429413]}
EVALUATE: {'loss': [2.53313946723938], 'accuracy': [0.35164836049079895]}
FIT: {'loss': [2.5364084243774414], 'accuracy': [0.3392070531845093]}
EVALUATE: {'loss': [2.4341790676116943], 'accuracy': [0.3956044018268585]}
FIT: {'loss': [2.5717430114746094], 'accuracy': [0.350220263004303]}
EVALUATE: {'loss': [2.3126604557037354], 'accuracy': [0.3791208863258362]}
FIT: {'loss': [2.645070791244507], 'accuracy': [0.3348017632961273]}
EVALUATE: {'loss': [2.221982717514038], 'accuracy': [0.4395604431629181]}
FIT: {'loss': [2.596471071243286], 'accuracy': [0.35242289304733276]}
EVALUATE: {'loss': [2.5838043689727783], 'accuracy': [0.37362638115882874]}
