FIT: {'loss': [2.9775443077087402], 'accuracy': [0.2585858702659607]}
EVALUATE: {'loss': [2.835515022277832], 'accuracy': [0.3958333432674408]}
FIT: {'loss': [2.3879754543304443], 'accuracy': [0.38787877559661865]}
EVALUATE: {'loss': [2.308163642883301], 'accuracy': [0.4652777910232544]}
FIT: {'loss': [2.2595040798187256], 'accuracy': [0.4343434274196625]}
EVALUATE: {'loss': [1.8317413330078125], 'accuracy': [0.5]}
FIT: {'loss': [2.4488296508789062], 'accuracy': [0.3656565546989441]}
EVALUATE: {'loss': [2.0619466304779053], 'accuracy': [0.4791666567325592]}
FIT: {'loss': [2.330744743347168], 'accuracy': [0.3595959544181824]}
EVALUATE: {'loss': [2.025568723678589], 'accuracy': [0.4722222089767456]}
FIT: {'loss': [2.186042308807373], 'accuracy': [0.4383838474750519]}
EVALUATE: {'loss': [1.8111648559570312], 'accuracy': [0.5347222089767456]}
FIT: {'loss': [2.39721941947937], 'accuracy': [0.3676767647266388]}
EVALUATE: {'loss': [2.0624876022338867], 'accuracy': [0.4652777910232544]}
