FIT: {'loss': [2.932992935180664], 'accuracy': [0.2639860212802887]}
EVALUATE: {'loss': [2.6569595336914062], 'accuracy': [0.3434903025627136]}
FIT: {'loss': [2.6912739276885986], 'accuracy': [0.31293705105781555]}
EVALUATE: {'loss': [2.4845521450042725], 'accuracy': [0.41274237632751465]}
FIT: {'loss': [2.6901919841766357], 'accuracy': [0.29720279574394226]}
EVALUATE: {'loss': [2.413496971130371], 'accuracy': [0.4487534761428833]}
FIT: {'loss': [2.639785051345825], 'accuracy': [0.30069929361343384]}
EVALUATE: {'loss': [2.3480100631713867], 'accuracy': [0.440443217754364]}
FIT: {'loss': [2.4917166233062744], 'accuracy': [0.36888110637664795]}
EVALUATE: {'loss': [2.198190212249756], 'accuracy': [0.4598338007926941]}
FIT: {'loss': [2.4874768257141113], 'accuracy': [0.3758741319179535]}
EVALUATE: {'loss': [2.155611991882324], 'accuracy': [0.4542936384677887]}
FIT: {'loss': [2.4192657470703125], 'accuracy': [0.3758741319179535]}
EVALUATE: {'loss': [2.1448867321014404], 'accuracy': [0.440443217754364]}
FIT: {'loss': [2.3562710285186768], 'accuracy': [0.4143356680870056]}
EVALUATE: {'loss': [2.1122679710388184], 'accuracy': [0.49307480454444885]}
