FIT: {'loss': [2.8165881633758545], 'accuracy': [0.2800000011920929]}
EVALUATE: {'loss': [3.043398141860962], 'accuracy': [0.2982456088066101]}
FIT: {'loss': [2.6264119148254395], 'accuracy': [0.3333333432674408]}
EVALUATE: {'loss': [2.791287660598755], 'accuracy': [0.2982456088066101]}
FIT: {'loss': [2.6644678115844727], 'accuracy': [0.3333333432674408]}
EVALUATE: {'loss': [2.225271701812744], 'accuracy': [0.5087719559669495]}
FIT: {'loss': [2.3331868648529053], 'accuracy': [0.46666666865348816]}
EVALUATE: {'loss': [2.176485300064087], 'accuracy': [0.4912280738353729]}
FIT: {'loss': [2.4039430618286133], 'accuracy': [0.3466666638851166]}
EVALUATE: {'loss': [2.250380039215088], 'accuracy': [0.45614033937454224]}
FIT: {'loss': [2.8141918182373047], 'accuracy': [0.2800000011920929]}
EVALUATE: {'loss': [2.262322425842285], 'accuracy': [0.5789473652839661]}
FIT: {'loss': [2.5673062801361084], 'accuracy': [0.3866666555404663]}
EVALUATE: {'loss': [2.4024202823638916], 'accuracy': [0.3684210479259491]}
FIT: {'loss': [2.3071112632751465], 'accuracy': [0.4399999976158142]}
EVALUATE: {'loss': [1.6230677366256714], 'accuracy': [0.5438596606254578]}
