FIT: {'loss': [2.9011282920837402], 'accuracy': [0.30078125]}
EVALUATE: {'loss': [2.7090306282043457], 'accuracy': [0.3466666638851166]}
FIT: {'loss': [2.5971851348876953], 'accuracy': [0.328125]}
EVALUATE: {'loss': [2.1501529216766357], 'accuracy': [0.47333332896232605]}
FIT: {'loss': [2.368647336959839], 'accuracy': [0.42578125]}
EVALUATE: {'loss': [1.9870768785476685], 'accuracy': [0.4933333396911621]}
FIT: {'loss': [2.3264126777648926], 'accuracy': [0.421875]}
EVALUATE: {'loss': [2.309903621673584], 'accuracy': [0.3333333432674408]}
FIT: {'loss': [2.2132418155670166], 'accuracy': [0.41796875]}
EVALUATE: {'loss': [2.0141866207122803], 'accuracy': [0.5]}
FIT: {'loss': [2.1316709518432617], 'accuracy': [0.4609375]}
EVALUATE: {'loss': [2.315531015396118], 'accuracy': [0.4333333373069763]}
FIT: {'loss': [2.3137805461883545], 'accuracy': [0.4140625]}
EVALUATE: {'loss': [2.205918073654175], 'accuracy': [0.3733333349227905]}
