FIT: {'loss': [2.985616445541382], 'accuracy': [0.24462366104125977]}
EVALUATE: {'loss': [2.64892840385437], 'accuracy': [0.3986254334449768]}
FIT: {'loss': [2.8688929080963135], 'accuracy': [0.301075279712677]}
EVALUATE: {'loss': [2.5112693309783936], 'accuracy': [0.4295532703399658]}
FIT: {'loss': [2.6959807872772217], 'accuracy': [0.29973119497299194]}
EVALUATE: {'loss': [2.435563802719116], 'accuracy': [0.42268040776252747]}
FIT: {'loss': [2.6023871898651123], 'accuracy': [0.3427419364452362]}
EVALUATE: {'loss': [2.2824437618255615], 'accuracy': [0.4501718282699585]}
FIT: {'loss': [2.4969372749328613], 'accuracy': [0.36021506786346436]}
EVALUATE: {'loss': [2.172194719314575], 'accuracy': [0.49140894412994385]}
