FIT: {'loss': [3.0594213008880615], 'accuracy': [0.2222222238779068]}
EVALUATE: {'loss': [2.6148712635040283], 'accuracy': [0.44999998807907104]}
FIT: {'loss': [2.9065208435058594], 'accuracy': [0.298353910446167]}
EVALUATE: {'loss': [2.5893938541412354], 'accuracy': [0.33500000834465027]}
FIT: {'loss': [2.921142101287842], 'accuracy': [0.2716049253940582]}
EVALUATE: {'loss': [2.5328173637390137], 'accuracy': [0.3499999940395355]}
FIT: {'loss': [2.722198724746704], 'accuracy': [0.3127571940422058]}
EVALUATE: {'loss': [2.5587093830108643], 'accuracy': [0.42500001192092896]}
FIT: {'loss': [2.5493693351745605], 'accuracy': [0.38065844774246216]}
EVALUATE: {'loss': [2.116943836212158], 'accuracy': [0.5]}
