FIT: {'loss': [3.0652174949645996], 'accuracy': [0.22240526974201202]}
EVALUATE: {'loss': [2.742267608642578], 'accuracy': [0.304225355386734]}
FIT: {'loss': [2.861879825592041], 'accuracy': [0.25205931067466736]}
EVALUATE: {'loss': [2.4445841312408447], 'accuracy': [0.41971829533576965]}
FIT: {'loss': [2.767195224761963], 'accuracy': [0.2998352646827698]}
EVALUATE: {'loss': [2.5088179111480713], 'accuracy': [0.3830986022949219]}
FIT: {'loss': [2.651604652404785], 'accuracy': [0.3278418481349945]}
EVALUATE: {'loss': [2.2209503650665283], 'accuracy': [0.48732393980026245]}
FIT: {'loss': [2.6496052742004395], 'accuracy': [0.3459637463092804]}
EVALUATE: {'loss': [2.304964065551758], 'accuracy': [0.4985915422439575]}
