FIT: {'loss': [0.985679030418396], 'accuracy': [0.7205057144165039]}
EVALUATE: {'loss': [0.17550060153007507], 'accuracy': [0.9657400250434875]}
FIT: {'loss': [0.28170183300971985], 'accuracy': [0.913357138633728]}
EVALUATE: {'loss': [0.0625624805688858], 'accuracy': [0.9855479001998901]}
FIT: {'loss': [0.2586163282394409], 'accuracy': [0.9219194054603577]}
EVALUATE: {'loss': [0.06621276587247849], 'accuracy': [0.9854629039764404]}
FIT: {'loss': [0.23111584782600403], 'accuracy': [0.9303723573684692]}
EVALUATE: {'loss': [0.06284017115831375], 'accuracy': [0.9828274846076965]}
FIT: {'loss': [0.17883528769016266], 'accuracy': [0.9469867944717407]}
EVALUATE: {'loss': [0.04246514290571213], 'accuracy': [0.9892884492874146]}
FIT: {'loss': [0.15955378115177155], 'accuracy': [0.9529257416725159]}
EVALUATE: {'loss': [0.03713725879788399], 'accuracy': [0.9913287162780762]}
FIT: {'loss': [0.1833222508430481], 'accuracy': [0.945602297782898]}
EVALUATE: {'loss': [0.042521364986896515], 'accuracy': [0.9900535345077515]}
FIT: {'loss': [0.14316800236701965], 'accuracy': [0.9570065140724182]}
EVALUATE: {'loss': [0.06111733987927437], 'accuracy': [0.9854629039764404]}
FIT: {'loss': [0.15050098299980164], 'accuracy': [0.9556219577789307]}
EVALUATE: {'loss': [0.034454043954610825], 'accuracy': [0.9912437200546265]}
